Season,Week,Running_Order,Celebrity,Ballroom_Partner,Couple,Dance_Style,Weekly_Bottom_Two_Status
23,9,4,Terra & Sasha,,Terra & Sasha,Charleston,Safe
23,9,5,Jana & Gleb,,Jana & Gleb,Waltz,Safe
23,9,6,Laurie & Val,,Laurie & Val,Argentine tango,Safe
23,9,7,James & Jenna,Calvin & Lindsay,James & Jenna / Calvin & Lindsay,Paso doble,Safe
23,9,8,Marilu & Derek,Terra & Sasha,Marilu & Derek / Terra & Sasha,Jazz,Safe
23,9,9,Laurie & Val,Jana & Gleb,Laurie & Val / Jana & Gleb,Contemporary,Safe
23,10,1,James & Sharna,,James & Sharna,Argentine tango,Safe
23,10,1,James & Sharna,,James & Sharna,,Safe
23,10,2,Terra & Sasha,,Terra & Sasha,Rumba,Eliminated
23,10,2,Terra & Sasha,,Terra & Sasha,,Eliminated
23,10,3,Jana & Gleb,,Jana & Gleb,Quickstep,Safe
23,10,3,Jana & Gleb,,Jana & Gleb,,Safe
23,10,4,Calvin & Lindsay,,Calvin & Lindsay,Tango,Safe
23,10,4,Calvin & Lindsay,,Calvin & Lindsay,,Safe
23,10,5,Laurie & Val,,Laurie & Val,Foxtrot,Safe
23,10,5,Laurie & Val,,Laurie & Val,,Safe
23,11,1,Calvin & Lindsay,,Calvin & Lindsay,Viennese waltz,Safe
23,11,1,Calvin & Lindsay,,Calvin & Lindsay,,Safe
23,11,2,Jana & Gleb,,Jana & Gleb,Tango,Eliminated
23,11,2,Jana & Gleb,,Jana & Gleb,,Eliminated
23,11,3,Laurie & Val,,Laurie & Val,Paso doble,Safe
23,11,3,Laurie & Val,,Laurie & Val,,Safe
23,11,4,James & Sharna,,James & Sharna,Foxtrot,Safe
23,11,4,James & Sharna,,James & Sharna,,Safe
23,11,1,James & Sharna,,James & Sharna,Foxtrot & Viennese waltz,Runners-Up
23,11,2,Calvin & Lindsay,,Calvin & Lindsay,Jive & Quickstep,Third Place
23,11,3,Laurie & Val,,Laurie & Val,Argentine tango & Foxtrot,Winners
24,1,1,Normani & Val,,Normani & Val,Quickstep,
24,1,2,Nancy & Artem,,Nancy & Artem,Viennese waltz,
24,1,3,Chris & Witney,,Chris & Witney,Cha-cha-cha,
24,1,4,Bonner & Sharna,,Bonner & Sharna,Cha-cha-cha,
24,1,5,Charo & Keo,,Charo & Keo,Salsa,
24,1,6,Nick & Peta,,Nick & Peta,Cha-cha-cha,
24,1,7,Heather & Maks,,Heather & Maks,Viennese waltz,
24,1,8,David & Lindsay,,David & Lindsay,Quickstep,
24,1,9,Erika & Gleb,,Erika & Gleb,Salsa,
24,1,10,Rashad & Emma,,Rashad & Emma,Cha-cha-cha,
24,1,11,Mr. T & Kym,,Mr. T & Kym,Cha-cha-cha,
24,1,12,Simone & Sasha,,Simone & Sasha,Tango,
24,2,1,Nancy & Artem,,Nancy & Artem,Cha-cha-cha,Safe
24,2,2,Erika & Gleb,,Erika & Gleb,Foxtrot,Safe
24,2,3,Charo & Keo,,Charo & Keo,Paso doble,Safe
24,2,4,Nick & Peta,,Nick & Peta,Foxtrot,Safe
24,2,5,Heather & Alan,,Heather & Alan,Jive,Safe
24,2,6,Bonner & Sharna,,Bonner & Sharna,Viennese waltz,Safe
24,2,7,Simone & Sasha,,Simone & Sasha,Cha-cha-cha,Safe
24,2,8,Chris & Witney,,Chris & Witney,Jazz,Eliminated
24,2,9,Normani & Val,,Normani & Val,Cha-cha-cha,Safe
24,2,10,Rashad & Emma,,Rashad & Emma,Viennese waltz,Safe
24,2,11,Mr. T & Kym,,Mr. T & Kym,Paso doble,Safe
24,2,12,David & Lindsay,,David & Lindsay,Cha-cha-cha,Safe
24,3,1,Nick & Peta,,Nick & Peta,Tango,Safe
24,3,2,Mr. T & Kym,,Mr. T & Kym,Foxtrot,Safe
24,3,3,Bonner & Sharna,,Bonner & Sharna,Charleston,Safe
24,3,4,Heather & Alan,,Heather & Alan,Tango,Safe
24,3,5,Charo & Keo,,Charo & Keo,Foxtrot,Eliminated
24,3,6,Simone & Sasha,,Simone & Sasha,Quickstep,Safe
24,3,7,Nancy & Artem,,Nancy & Artem,Samba,Safe
24,3,8,David & Lindsay,,David & Lindsay,Jazz,Safe
